2023-04-18 14:48:51.736 	Header 	teljes_scan 	Sequence Started
2023-04-18 14:48:51.804 	Header 	teljes_scan 	Step 1 - Event
2023-04-18 14:50:52.848 	Header 	teljes_scan 	Sequence Pausing
2023-04-18 14:50:55.192 	Header 	teljes_scan 	Sequence Completed: Completed Cycle 0
2023-04-18 14:50:55.699 	Header 	teljes_scan 	Sequence Completed
2023-04-18 14:53:28.315 	Header 	scan 1 	Sequence Started
2023-04-18 14:53:28.316 	Header 	scan 1 	Step 1 - Event
2023-04-18 14:53:54.749 	Header 	scan 1 	Sequence Paused
2023-04-18 14:53:54.749 	Header 	scan 1 	Sequence Pausing
2023-04-18 14:53:55.900 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 14:53:56.402 	Header 	scan 1 	Sequence Completed
2023-04-18 14:54:06.116 	Header 	scan 1 	Sequence Started
2023-04-18 14:54:06.117 	Header 	scan 1 	Step 1 - Event
2023-04-18 14:54:45.262 	Header 	scan 1 	Sequence Paused
2023-04-18 14:54:46.607 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 14:54:47.108 	Header 	scan 1 	Sequence Completed
2023-04-18 14:56:20.505 	Header 	scan 1 	Sequence Started
2023-04-18 14:56:20.509 	Header 	scan 1 	Step 1 - Event
2023-04-18 14:56:37.671 	Header 	scan 1 	Completed Cycle 1
2023-04-18 14:56:37.682 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 14:56:38.184 	Header 	scan 1 	Sequence Completed
2023-04-18 14:56:47.371 	Header 	teljes_scan 	Sequence Started
2023-04-18 14:56:47.375 	Header 	teljes_scan 	Step 1 - Event
2023-04-18 14:57:37.738 	Header 	teljes_scan 	Sequence Paused
2023-04-18 14:57:37.741 	Header 	teljes_scan 	Sequence Pausing
2023-04-18 14:57:37.833 	Header 	teljes_scan 	Sequence Paused
2023-04-18 14:57:41.126 	Header 	teljes_scan 	Sequence Completed: Completed Cycle 0
2023-04-18 14:57:41.633 	Header 	teljes_scan 	Sequence Completed
2023-04-18 14:58:22.696 	Header 	teljes_scan 	Sequence Started
2023-04-18 14:58:22.702 	Header 	teljes_scan 	Step 1 - Event
2023-04-18 15:04:48.573 	Header 	teljes_scan 	Sequence Paused
2023-04-18 15:04:48.578 	Header 	teljes_scan 	Sequence Pausing
2023-04-18 15:04:53.911 	Header 	teljes_scan 	Sequence Paused
2023-04-18 15:04:55.160 	Header 	teljes_scan 	Sequence Completed: Completed Cycle 0
2023-04-18 15:04:55.661 	Header 	teljes_scan 	Sequence Completed
2023-04-18 15:05:37.670 	Header 	scan 1 	Sequence Started
2023-04-18 15:05:37.676 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:05:57.438 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:05:57.441 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:05:57.945 	Header 	scan 1 	Sequence Completed
2023-04-18 15:07:24.639 	Header 	scan 1 	Sequence Started
2023-04-18 15:07:24.642 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:07:58.534 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:07:58.541 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:07:59.043 	Header 	scan 1 	Sequence Completed
2023-04-18 15:09:02.766 	Header 	scan 1 	Sequence Started
2023-04-18 15:09:02.776 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:09:37.370 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:09:37.374 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:09:37.875 	Header 	scan 1 	Sequence Completed
2023-04-18 15:14:38.929 	Header 	scan 1 	Sequence Started
2023-04-18 15:14:38.937 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:15:37.827 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:15:38.331 	Header 	scan 1 	Sequence Completed
2023-04-18 15:16:06.957 	Header 	scan 1 	Sequence Started
2023-04-18 15:16:06.964 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:16:17.680 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:16:18.182 	Header 	scan 1 	Sequence Completed
2023-04-18 15:16:28.957 	Header 	scan 1 	Sequence Started
2023-04-18 15:16:28.961 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:17:04.010 	Header 	scan 1 	Sequence Completed: Completed Cycle 0
2023-04-18 15:17:04.513 	Header 	scan 1 	Sequence Completed
2023-04-18 15:20:13.457 	Header 	scan 1 	Sequence Started
2023-04-18 15:20:13.464 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:20:47.473 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:20:47.477 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:20:47.979 	Header 	scan 1 	Sequence Completed
2023-04-18 15:22:07.653 	Header 	scan 1 	Sequence Started
2023-04-18 15:22:07.658 	Header 	scan 1 	Step 1 - Event
2023-04-18 15:25:29.260 	Header 	scan 1 	Completed Cycle 1
2023-04-18 15:25:29.264 	Header 	scan 1 	Sequence Completed: Completed Cycle 1
2023-04-18 15:25:29.766 	Header 	scan 1 	Sequence Completed
