Device : ;PAX1000IR2/M
Serial Number : ;M00533422
Firmware Version : ;1.0.3
Software Version : ;1.3.1907.145
Wavelength [nm] : ;1550
Basic Sample Rate [Hz] : ;60
Operating Mode : ;2 revolutions for one measurement, 512 points for FFT

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2023-04-18 16:09:12.94;0.00:00:00:257;0.87;-0.36;0.34;0.2272;0.1951;-0.08005;0.07706;-11.16;10.04;98.83;33.92;92.82;0.2272;0.2245;0.002665;-6.437;-6.488;-25.744;0.93;136.09;
2023-04-18 16:09:13.19;0.00:00:00:508;0.87;-0.36;0.34;0.2271;0.195;-0.08002;0.07711;-11.15;10.05;98.83;33.95;92.82;0.2271;0.2245;0.00266;-6.437;-6.488;-25.752;0.93;136.06;
2023-04-18 16:09:13.44;0.00:00:00:757;0.87;-0.36;0.34;0.2271;0.195;-0.08006;0.0771;-11.16;10.04;98.84;33.94;92.82;0.2271;0.2245;0.002645;-6.437;-6.488;-25.776;0.93;136.08;
2023-04-18 16:09:13.69;0.00:00:01:009;0.87;-0.36;0.34;0.2271;0.195;-0.07999;0.07711;-11.15;10.05;98.83;33.95;92.81;0.2271;0.2244;0.002667;-6.438;-6.489;-25.740;0.93;136.05;
2023-04-18 16:09:13.94;0.00:00:01:259;0.87;-0.36;0.34;0.2271;0.195;-0.07992;0.07715;-11.15;10.06;98.82;33.98;92.79;0.2271;0.2244;0.002679;-6.439;-6.490;-25.720;0.93;136.01;
2023-04-18 16:09:14.19;0.00:00:01:510;0.87;-0.36;0.34;0.227;0.1949;-0.07994;0.07714;-11.15;10.06;98.82;33.98;92.80;0.227;0.2243;0.002668;-6.440;-6.491;-25.737;0.93;136.02;
2023-04-18 16:09:14.45;0.00:00:01:764;0.87;-0.36;0.34;0.2269;0.1948;-0.0799;0.07714;-11.15;10.06;98.83;34.00;92.80;0.2269;0.2243;0.002657;-6.441;-6.493;-25.756;0.93;136.01;
2023-04-18 16:09:14.70;0.00:00:02:017;0.87;-0.36;0.34;0.2269;0.1948;-0.07987;0.0771;-11.15;10.06;98.82;33.99;92.80;0.2269;0.2242;0.002668;-6.443;-6.494;-25.738;0.93;136.01;
2023-04-18 16:09:14.95;0.00:00:02:268;0.88;-0.35;0.33;0.2265;0.1962;-0.07879;0.07415;-10.94;9.66;98.93;32.74;93.36;0.2265;0.2241;0.002421;-6.450;-6.496;-26.160;0.94;136.74;
2023-04-18 16:09:15.20;0.00:00:02:517;0.88;-0.35;0.32;0.2268;0.1974;-0.07785;0.07254;-10.76;9.44;98.88;31.99;93.56;0.2268;0.2243;0.002537;-6.444;-6.493;-25.957;0.94;137.02;
2023-04-18 16:09:15.45;0.00:00:02:770;0.88;-0.35;0.32;0.2268;0.1974;-0.07778;0.07253;-10.75;9.44;98.87;31.98;93.56;0.2268;0.2242;0.002561;-6.444;-6.493;-25.916;0.94;137.00;
2023-04-18 16:09:15.70;0.00:00:03:022;0.90;-0.33;0.28;0.2268;0.2021;-0.07392;0.0638;-10.04;8.26;98.97;28.13;94.89;0.2268;0.2245;0.002336;-6.443;-6.488;-26.315;0.95;139.20;
2023-04-18 16:09:15.96;0.00:00:03:274;0.90;-0.33;0.28;0.2269;0.2022;-0.07401;0.06382;-10.05;8.25;98.99;28.13;94.91;0.2269;0.2246;0.002283;-6.442;-6.486;-26.416;0.95;139.23;
2023-04-18 16:09:16.21;0.00:00:03:525;0.91;-0.32;0.26;0.2268;0.2054;-0.07089;0.05746;-9.52;7.41;99.10;25.34;95.81;0.2268;0.2247;0.002043;-6.444;-6.483;-26.897;0.96;140.97;
2023-04-18 16:09:16.46;0.00:00:03:782;0.91;-0.31;0.25;0.2269;0.2055;-0.07063;0.05718;-9.48;7.37;99.05;25.21;95.79;0.2269;0.2247;0.00215;-6.442;-6.484;-26.675;0.96;141.00;
2023-04-18 16:09:16.72;0.00:00:04:042;0.92;-0.31;0.24;0.2266;0.2068;-0.06921;0.05415;-9.25;6.97;99.14;23.90;96.22;0.2266;0.2247;0.001947;-6.447;-6.485;-27.107;0.96;141.96;
2023-04-18 16:09:16.98;0.00:00:04:293;0.92;-0.30;0.23;0.2267;0.2076;-0.06796;0.05241;-9.06;6.75;99.08;23.12;96.35;0.2267;0.2246;0.002076;-6.445;-6.485;-26.828;0.96;142.36;
